num_bidder,num_bids,prod_id,title,model,prod_milage,prod_yr,final_price,starting_price,length,brand,start_time,end_time
15,36,321254544750,Ford : Escape HYBRID 2.3L, AC,119674,2006,6450.0,500.0,604800,Ford,1384885800.0,1385490600.0
6,11,141119827139,Chevrolet : Camaro Z/28, AC,82155,1981,9500.0,1981.0,604800,Chevrolet,1384801200.0,1385406000.0
10,22,251380874083,Chevrolet : Corvette T-TOP, AC,97014,1979,9900.0,200.0,864000,Chevrolet,1384534166.0,1385398166.0
5,8,261335058165,Ford : Escort Wholesale, AC,121699,2001,1425.0,990.0,432000,Ford,1384956000.0,1385388000.0
3,13,261335100971,Ford : Taurus One Owner, AC,100129,2001,1500.0,999.0,432000,Ford,1384956000.0,1385388000.0
12,28,200989810292,Ford : Mustang CONVERTIBLE, AC,112000,1969,24400.0,1969.0,604800,Ford,1384759274.0,1385364074.0
17,54,281208882150,Honda : Insight Insight, AC,105616,2000,4001.0,200.0,604800,Honda,1384713000.0,1385317800.0
16,52,301020162740,Nissan : Xterra XE 4WD, AC,141608,2001,3716.66,500.0,604800,Nissan,1384713000.0,1385317800.0
6,19,200989551811,MG : MGB convertible, AC,41688,1971,3500.99,1.0,604800,MG,1384695256.0,1385300056.0
11,28,181263337190,Chrysler : PT Cruiser Base Wagon 4-Door, AC,32578,2002,3827.0,200.0,604800,Chrysler,1384628400.0,1385233200.0
11,38,171174902863,Ford : Explorer Sport Trac XLT Sport Utility 4-Door, AC,154810,2004,2575.0,500.0,604800,Ford,1384599600.0,1385204400.0
3,6,271325022099,Ford : Thunderbird Landau, AC,73403,1966,14000.0,5490.0,604800,Ford,1384764302.0,1385369102.0
7,13,151170194046,Oldsmobile : Cutlass S, AC,0,1972,2000.0,200.0,432000,Oldsmobile,1384848235.0,1385280235.0
7,14,200989639235,Ford : F-250 ranger, AC,80324,1974,6180.0,2500.0,432000,Ford,1384712004.0,1385144004.0
26,65,400607719785,Dodge : Neon Neon, AC,50193,2002,3450.0,0.99,604800,Dodge,1384457940.0,1385062740.0
17,43,291017151285,Chevrolet : Corvette 2dr Coupe, AC,94576,1986,3557.22,500.0,604800,Chevrolet,1384455600.0,1385060400.0
13,15,301017313636,Saturn : Vue VUE 5-SPEED, AC,94949,2005,2600.0,500.0,604800,Saturn,1384454700.0,1385059500.0
12,32,221317266107,Ford : Expedition XLT 4WD, AC,167538,2000,2325.0,500.0,604800,Ford,1384453800.0,1385058600.0
7,15,301017300880,Ford : Explorer XLS 5-SPEED, AC,140567,2000,1500.0,500.0,604800,Ford,1384453800.0,1385058600.0
5,15,310798304101,Land Rover : Discovery 4dr 4X4  SE, AC,156283,2004,4050.0,500.0,432000,Land,1384626469.0,1385058469.0
8,49,321250060295,Toyota : Camry 4dr Sedan XL, AC,122282,1993,1500.0,100.0,604800,Toyota,1384410684.0,1385015484.0
7,10,121218259009,Dodge : Dart GT, AC,75887,1965,5000.0,200.0,604800,Dodge,1384792924.0,1385397724.0
15,43,231091893512,Suzuki : Samurai jx, AC,112205,1987,6700.0,200.0,864000,Suzuki,1384023289.0,1384887289.0
10,44,321248589896,Chevrolet : Other Pickups 5 WINDOW, AC,25800,1950,20600.0,200.0,604800,Chevrolet,1384255245.0,1384860045.0
4,35,321251285238,Mercedes-Benz : S-Class Long Wheelbase, AC,150574,1995,300.0,300.0,259200,Mercedes-Benz,1384534990.0,1384794190.0
19,42,331064203622,Ford : Taurus  Roomy Sedan V6 Cold AC Runs Well Save Here , AC,124147,2005,2327.66,1.0,604800,Ford,1384187002.0,1384791802.0
13,24,131044823690,Chrysler : Imperial Rust Free, AC,117000,1959,3100.0,200.0,604800,Chrysler,1384180219.0,1384785019.0
5,13,231092797290,Triumph : Other TR7, AC,54000,1975,433.88,350.0,604800,Triumph,1384113051.0,1384717851.0
17,62,251377145290,Buick : Regal MOON ROOF/HEATED LEATHER SEATS/AC/BACK SENSORS/, AC,19174,2012,11100.0,200.0,604800,Buick,1384100100.0,1384704900.0
17,79,181257413224,Ford : Focus ZX4 Sedan 4-Door, AC,10582,2006,6000.12,200.0,604800,Ford,1384023600.0,1384628400.0
17,36,111210864771,Chevrolet : Chevelle NO RESERVE, AC,56044,1971,17875.0,200.0,604800,Chevrolet,1383930906.0,1384535706.0
9,37,231091002646,GMC : Jimmy HIGH SIERRA, AC,114823,1979,5600.0,1000.0,604800,GMC,1383929744.0,1384534544.0
6,27,291014048335,Mercury : Sable 4dr Wgn LS, AC,55888,2001,500.0,500.0,432000,Mercury,1384100363.0,1384532363.0
8,19,291015172859,Pontiac : Trans Am Y88, AC,41977,1978,2000.0,200.0,259200,Pontiac,1384272000.0,1384531200.0
22,64,400602786647,Toyota : Prius Prius, AC,66131,2003,7339.0,0.99,604800,Toyota,1383853440.0,1384458240.0
14,49,400602722160,Ford : F-350 F350, AC,153712,1996,1975.0,0.99,604800,Ford,1383853080.0,1384457880.0
14,29,161144981546,Ford : F-250 F-250XL, AC,76774,2004,5120.0,0.99,604800,Ford,1383852481.0,1384457281.0
11,40,291011626824,Chevrolet : Express G1500 G 1500, AC,119198,1997,3300.0,500.0,604800,Chevrolet,1383851700.0,1384456500.0
8,20,121210367769,Chrysler : Sebring GTC COUPE, AC,126743,2005,2247.0,500.0,604800,Chrysler,1383848610.0,1384453410.0
16,43,251374675929,BMW : 2002 2 DOOR SPORTS SEDAN FUEL INJECTED - LAST YEAR!, AC,59725,1974,13400.0,500.0,604800,BMW,1383821488.0,1384426288.0
15,31,121206177851,Nissan : Quest 4dr SL 3.5L, AC,69500,2007,9300.0,500.0,864000,Nissan,1383506100.0,1384370100.0
8,17,271315178226,GMC : Suburban Sierra Classic Estate, AC,88948,1975,5000.0,200.0,604800,GMC,1383750406.0,1384355206.0
6,20,190956370815,Jeep : Wrangler Sport Sport Utility 2-Door, AC,114531,2003,11485.0,5000.0,864000,Jeep,1383512984.0,1384376984.0
3,6,281202104901,Toyota : Tundra Base Standard Cab Pickup 2-Door, AC,153965,2002,3250.0,1899.0,604800,Toyota,1383730495.0,1384335295.0
7,10,161144208179,Ford : Excursion NO RESERVE!!, AC,223552,2002,2550.0,500.0,604800,Ford,1383721696.0,1384326496.0
8,28,261323163604,Chevrolet : Malibu  LTZ SEDAN 4 D, AC,7400,2013,15300.0,5000.0,604800,Chevrolet,1383676583.0,1384281383.0
17,49,171166267859,Ford : Other NO RESERVE!!, AC,80282,1982,2225.0,500.0,604800,Ford,1383634382.0,1384239182.0
7,15,390693894517,Smart PASSION, AC,71854,2008,5900.66,995.0,604800,Smart,1383589800.0,1384194600.0
7,18,261322353553,Volvo : V70 2.4T Wagon 4-Door, AC,175646,2001,1825.0,200.0,604800,Volvo,1383576421.0,1384181221.0
10,20,161142971032,Kia : Sportage NO RESERVE!!, AC,179368,2001,1000.0,500.0,604800,Kia,1383552573.0,1384157373.0
13,28,331058950640,Chevrolet : Corvette Stingray, AC,63700,1974,14100.0,4995.0,604800,Chevrolet,1383500562.0,1384105362.0
6,8,261319468289,Ford : F-150 pick up, AC,500,1942,7098.88,200.0,864000,Ford,1383244558.0,1384108558.0
6,14,251372499636,Honda : Accord EX, AC,157,2000,1875.0,200.0,604800,Honda,1383496671.0,1384101471.0
16,40,251372368570,Chevrolet : Malibu NAVI/MOONROOF/HEATED LEATHER SEATS/AC/CAMERA, AC,6297,2013,15000.0,200.0,604800,Chevrolet,1383493500.0,1384098300.0
5,9,261320616665,Buick : Regal HANDICAP 94K NO RESERVE ENDS Sat Nov 9th1:25-PM es, AC,94691,1996,1930.0,1500.0,604800,Buick,1383387541.0,1383992341.0
13,33,190950108517,Ford : F-100 Pickup Truck Resto-Mod, AC,0,1955,37600.0,100.0,864000,Ford,1383073366.0,1383937366.0
9,15,281199723049,Ford : Mustang lx, AC,138000,1990,1275.0,200.0,604800,Ford,1383319431.0,1383924231.0
12,24,400598578671,Dodge : Sprinter Ram, AC,104512,1999,2025.0,0.99,604800,Dodge,1383253021.0,1383857821.0
13,40,161140302696,Chevrolet : Impala Impala, AC,133195,2005,3200.0,0.99,604800,Chevrolet,1383252120.0,1383856920.0
12,28,161140294402,Volvo : XC70 XC70, AC,160104,2004,4450.0,0.99,604800,Volvo,1383251460.0,1383856260.0
9,52,291007908561,Volkswagen : Passat GL 5-SPEED, AC,100602,2003,3001.0,500.0,604800,Volkswagen,1383248252.0,1383853052.0
12,47,121206153625,Ford : Expedition EDDIE BAUER, AC,132298,1999,3000.0,500.0,604800,Ford,1383247357.0,1383852157.0
10,15,291007881230,Ford : Windstar LX 1-OWNER, AC,141941,2003,1900.0,500.0,604800,Ford,1383246900.0,1383851700.0
8,21,301006131702,Chevrolet : Blazer LS 4WD 4X4, AC,125056,2002,2076.0,500.0,604800,Chevrolet,1383246430.0,1383851230.0
11,25,321238219596,Hummer : H3, AC,89584,2007,12200.0,1000.0,864000,Hummer,1382985930.0,1383849930.0
12,17,200983099347,Volvo : S60 2.5L Turbo, AC,103515,2006,5900.0,1000.0,432000,Volvo,1383417900.0,1383849900.0
12,34,301006115072,Buick : LeSabre Custom 4dr, AC,61293,1999,1905.0,500.0,604800,Buick,1383244624.0,1383849424.0
16,26,190954567009,Ford : Mustang COUPE, AC,133284,2008,5100.0,500.0,432000,Ford,1383417000.0,1383849000.0
14,27,380756568908,Chevrolet : Corvette NO RESERVE, AC,21222,1977,10099.0,1.0,864000,Chevrolet,1382975229.0,1383839229.0
12,21,251369470003,Buick : Riviera NO RESERVE, AC,25225,1984,6250.0,200.0,604800,Buick,1383228836.0,1383833636.0
12,58,331056393806,Dodge : Caravan Caravan Minivan Cargo White V6 Gas Saver RunsGreat, AC,197519,2007,1750.0,1.0,604800,Dodge,1383161400.0,1383766200.0
5,38,271307207929,Shelby : AC COBRA AC , AC,7678,1966,37000.0,5000.0,864000,Shelby,1382893200.0,1383757200.0
8,18,131033079244,Jeep : Wrangler Sport Sport Utility 2-Door RIGHT HAND DRIVE, AC,213600,2003,4100.0,2000.0,604800,Jeep,1382985900.0,1383590700.0
13,21,301003396476,Jeep : Wrangler Sport, AC,213748,2000,3125.0,500.0,604800,Jeep,1382985267.0,1383590067.0
20,49,281198043006,Chevrolet : Bel Air/150/210 210, AC,100000,1955,17050.5,200.0,432000,Chevrolet,1383092829.0,1383524829.0
9,36,261316730598,Volvo : V70 2.4T Wagon 4-Door, AC,175646,2001,1924.23,200.0,604800,Volvo,1382902542.0,1383507342.0
12,22,261316726563,Honda : Accord EX Coupe 2-Door, AC,156298,2001,2177.0,200.0,604800,Honda,1382902036.0,1383506836.0
21,36,121203399299,Ford : F-250 Lariat Camper Special, AC,147918,1978,8100.0,200.0,604800,Ford,1382900197.0,1383504997.0
11,21,251367243747,Chevrolet : Malibu MOONROOF/HEATED LEATHER SEATS/AC/CAMERA/, AC,1136,2013,15950.0,200.0,604800,Chevrolet,1382891400.0,1383496200.0
8,14,301001984653,Ford : F-100 F1, AC,9000,1948,16900.0,500.0,604800,Ford,1382868584.0,1383473384.0
9,25,321238166150,Mercedes-Benz : S-Class Long Wheelbase, AC,150574,1995,400.0,400.0,432000,Mercedes-Benz,1382979305.0,1383411305.0
5,14,181250977605,Ford : F-100 XLT Lariat, AC,84000,1978,8100.0,800.0,432000,Ford,1383213600.0,1383645600.0
9,37,181247393489,Jeep : Wrangler 4X4 4dr, AC,21645,2007,16200.0,0.99,604800,Jeep,1382773657.0,1383378457.0
7,17,141103479497,Jeep : Cherokee Laredo Sport Utility 4-Door, AC,210000,1992,1025.0,0.99,259200,Jeep,1383090410.0,1383349610.0
3,8,161135825139,Mercedes-Benz : 200-Series No Reserve!, AC,105134,1976,7550.0,4999.0,604800,Mercedes-Benz,1382718697.0,1383323497.0
9,103,261316189059,Mercedes-Benz : 190-Series 190, AC,0,1965,2225.0,0.01,432000,Mercedes-Benz,1382861724.0,1383293724.0
11,19,291003095840,Chevrolet : Express G1500 G 1500, AC,119198,1997,3200.0,500.0,604800,Chevrolet,1382643451.0,1383248251.0
7,26,300999461047,Ford : Explorer Limited 4WD, AC,99769,1996,2151.0,500.0,604800,Ford,1382643000.0,1383247800.0
14,30,121201041603,Chevrolet : Corvette 2dr COUPE, AC,71629,1984,4000.0,500.0,604800,Chevrolet,1382642100.0,1383246900.0
9,31,291003078833,Ford : Expedition EDDIE BAUER, AC,110746,2000,2850.0,500.0,604800,Ford,1382641642.0,1383246442.0
12,19,300999438350,Dodge : Ram Van 2500 HIGHTOP, AC,121496,1997,2850.0,500.0,604800,Dodge,1382641200.0,1383246000.0
7,15,121200934819,Ford : Explorer XLS 4X4 4WD, AC,167058,1999,1375.0,500.0,604800,Ford,1382639400.0,1383244200.0
4,7,111197978210,Chevrolet : Corvette Convertible, AC,57300,1972,34100.0,20000.0,604800,Chevrolet,1382635085.0,1383239885.0
11,30,261317244354,Ford : F-150 Ford Pace Truck 1973 1974 1975 1976 1977 1978 , AC,51458,1979,4250.0,200.0,259200,Ford,1382973803.0,1383233003.0
5,40,261313627342,Ford : Freestar 5 dr. Mini Cargo Van, AC,82400,2004,4500.0,200.0,604800,Ford,1382591108.0,1383195908.0
16,66,121200337017,Ford : Taurus  Roomy Sedan V6 Cold AC Runs Well Save Here , AC,124147,2005,2225.0,1.0,604800,Ford,1382556600.0,1383161400.0
15,77,231079909970,Toyota : Camry RUNS GREAT!!! NO RESERVE!!!, AC,141500,2000,2801.0,0.01,604800,Toyota,1382553000.0,1383157800.0
6,53,131023852351,Lincoln : Mark Series LSC, AC,51843,1991,4601.0,200.0,604800,Lincoln,1382468400.0,1383073200.0
10,16,231080547889,Honda : Odyssey 5dr EX, AC,145081,2003,2225.0,500.0,432000,Honda,1382631300.0,1383063300.0
7,29,321233313387,BMW : 2002 2002 tii, AC,133276,1974,12700.0,2002.0,604800,BMW,1382436000.0,1383040800.0
8,47,261312187186,Chevrolet : Malibu  LTZ SEDAN 4 D, AC,7,2013,17100.0,5000.0,604800,Chevrolet,1382386722.0,1382991522.0
5,22,141096791208,Chevrolet : C-10 pickup short bed, AC,500,1964,14300.0,5000.0,604800,Chevrolet,1382379634.0,1382984434.0
24,43,300992862175,Datsun : Other NO RESERVE NISSAN, AC,147083,1983,7236.0,19.83,864000,Datsun,1382036400.0,1382900400.0
13,31,331049205791,Audi : A4 2005 Wgn 1.8, AC,128001,2005,4340.0,1000.0,604800,Audi,1382293800.0,1382898600.0
8,23,331049213853,Dodge : Ram 1500 4dr Quad Cab, AC,127495,2005,6900.0,2000.0,604800,Dodge,1382293800.0,1382898600.0
5,16,251360146682,Dodge : Neon SE, AC,79783,2005,3000.0,200.0,604800,Dodge,1382292000.0,1382896800.0
10,22,261311292401,Cadillac : Other NAVI/XENON/MOONROOF/CAMERA/COOLINGSEATS/AC/SENSORS, AC,1091,2013,30001.0,200.0,604800,Cadillac,1382290200.0,1382895000.0
13,31,141095142373,Ford : Mustang COBRA II, AC,138000,1977,3910.0,500.0,604800,Ford,1382288400.0,1382893200.0
10,20,251362042679,Ford : Edge NAVI/CAMERA/HEATEDLEATHERSEATS/AC/SENSORS/2 KEYS/, AC,8904,2013,19976.54,200.0,604800,Ford,1382288400.0,1382893200.0
14,45,131025702516,Oldsmobile : 442 NO RESERVE, AC,22208,1971,24652.0,200.0,604800,Oldsmobile,1382286257.0,1382891057.0
10,32,261311319824,Chevrolet : Malibu NAVI/MOONROOF/HEATED LEATHER SEATS/AC/CAMERA, AC,6297,2013,15600.0,200.0,604800,Chevrolet,1382285700.0,1382890500.0
5,10,190937855038,Dodge : Stratus 4 Door Sedan, AC,170709,2004,820.0,500.0,604800,Dodge,1382271208.0,1382876008.0
11,25,151147769308,Ford : Mustang landau top, AC,87914,1966,12000.0,200.0,604800,Ford,1382262627.0,1382867427.0
12,31,251361571421,Ford : F-150 XL Standard Cab Pickup 2-Door, AC,16608,2007,7300.0,500.0,604800,Ford,1382207347.0,1382812147.0
7,13,251364122977,Ford : F-150 xlt, AC,138214,1998,1376.0,100.0,259200,Ford,1382540676.0,1382799876.0
13,45,190938762081,Jeep : Wrangler Unlimited X Sport Utility 4-Door, AC,121500,2007,13000.0,200.0,432000,Jeep,1382343659.0,1382775659.0
10,25,271303317338,Toyota : 4Runner 4runner, AC,307700,1985,2500.0,200.0,604800,Toyota,1382379931.0,1382984731.0
9,26,171152881687,Ford : Excursion NO RESERVE!!, AC,223552,2002,2125.0,500.0,604800,Ford,1382101217.0,1382706017.0
11,27,161130067151,Chevrolet : Silverado 2500 2500LTD, AC,215931,2005,6100.0,0.99,604800,Chevrolet,1382039340.0,1382644140.0
12,46,190934740324,Chevrolet : Silverado 3500 3500, AC,84256,1995,7722.99,0.99,604800,Chevrolet,1382038620.0,1382643420.0
6,14,290998361761,Ford : Windstar LX 1-OWNER, AC,141941,2003,1675.0,500.0,604800,Ford,1382037758.0,1382642558.0
11,20,121196487279,Pontiac : Grand Am Grand AM GT1, AC,75544,2001,2650.0,500.0,604800,Pontiac,1382035500.0,1382640300.0
20,37,221301228001,Dodge : Ram 1500 SPORT 4X4, AC,179664,1999,3755.0,500.0,432000,Dodge,1382207400.0,1382639400.0
10,15,390681703530,Smart PASSION, AC,71854,2008,5202.0,995.0,604800,Smart,1382034600.0,1382639400.0
10,20,281192757482,Chevrolet : Camaro Z28 CONV, AC,148461,1994,1925.0,700.0,259200,Chevrolet,1382367842.0,1382627042.0
7,9,290998040317,BMW : 3-Series 325i 4dr Sdn, AC,257710,2001,1630.55,500.0,604800,BMW,1381998753.0,1382603553.0
10,45,121198753187,Other Makes : WHEEGO WHIP SILVER, AC,85,2010,4001.0,1.0,259200,Other,1382342203.0,1382601403.0
20,42,350898904982,Chrysler : Newport 6 passenger, AC,48987,1962,17500.0,999.0,864000,Chrysler,1381652469.0,1382516469.0
11,25,190933408765,Chevrolet : Impala SS, AC,67000,1963,5500.0,0.99,604800,Chevrolet,1381904766.0,1382509566.0
3,17,290995428218,Ford : F-100 RANGER XLT, AC,109366,1972,6300.0,3900.0,864000,Ford,1381600800.0,1382464800.0
6,19,251360231219,Ford : F-150 xlt, AC,138214,1998,1425.0,100.0,432000,Ford,1382017779.0,1382449779.0
15,54,271298704690,Volvo : XC90 2.5T A SR, AC,63854,2004,8100.0,100.0,604800,Volvo,1381828355.0,1382433155.0
16,37,161129342200,GMC : Suburban Trailering Special , AC,43176,1977,6100.0,200.0,432000,GMC,1381942800.0,1382374800.0
6,19,261306871142,Audi : A4 4dr Sdn Auto, AC,101718,2009,11950.0,500.0,604800,Audi,1381696211.0,1382301011.0
8,20,221298412764,Jeep : Wrangler Sport 4x4, AC,65050,2004,12500.0,8000.0,604800,Jeep,1381694400.0,1382299200.0
7,21,331043965835,Volkswagen : Passat GLS, AC,74000,2001,1325.0,200.0,604800,Volkswagen,1381689900.0,1382294700.0
12,21,141087004816,"Dodge : Ram Van 1500 109"" WB", AC,133265,2003,3750.0,995.0,864000,Dodge,1381429800.0,1382293800.0
15,27,281188833772,Jeep : Wrangler X, AC,137000,2004,7600.0,200.0,432000,Jeep,1381861800.0,1382293800.0
15,33,261306695955,Cadillac : Other NAVI/CAMERA/LEATHER SEATS/19''/6 CD CHANGER/AC, AC,2541,2013,21100.0,200.0,604800,Cadillac,1381684500.0,1382289300.0
8,13,251355871037,Chevrolet : Chevelle SS, AC,75000,1965,3100.0,200.0,604800,Chevrolet,1381658400.0,1382263200.0
8,17,321223586904,Pontiac : GTO 2 door hardtop, AC,66922,1970,9351.61,2000.0,604800,Pontiac,1381622400.0,1382227200.0
5,6,171151354554,Chevrolet : Impala SS, AC,120000,1964,5800.0,100.0,604800,Chevrolet,1381925681.0,1382530481.0
3,7,261305947095,Datsun : Z-Series 240 Z, AC,91000,1972,900.0,800.0,604800,Datsun,1381587961.0,1382192761.0
15,31,321226610200,Land Rover : Discovery 4dr Wgn SE7, AC,96210,2003,5400.0,200.0,604800,Land,1381508991.0,1382113791.0
15,26,290994323167,Chevrolet : Express G1500 G 1500, AC,119198,1997,3325.58,500.0,604800,Chevrolet,1381432104.0,1382036904.0
15,43,290994276613,Ford : F-150 KING RANCH, AC,116919,2001,8100.0,500.0,604800,Ford,1381429800.0,1382034600.0
18,33,310763579148,Saab : 9-5 4dr Sdn Arc, AC,94500,2004,3401.0,100.0,864000,Saab,1381087892.0,1381951892.0
15,34,141082433578,Ford : F-350 2WD Reg Cab, AC,191500,2008,7519.0,995.0,864000,Ford,1380999600.0,1381863600.0
11,21,141084862115,Jeep : Wrangler Unlimited Sport Utility 2-Door, AC,127852,2004,9600.0,200.0,604800,Jeep,1381223659.0,1381828459.0
9,15,131011163397,"Subaru : Other GL (air conditioning and ""fun"" roof)", AC,310000,1986,4500.0,800.0,864000,Subaru,1380957805.0,1381821805.0
8,11,331040830313,Toyota : Sienna LE V6, AC,83144,2001,4800.0,500.0,604800,Toyota,1381224820.0,1381829620.0
16,42,350890965420,BMW : 5-Series 540i 6-speed, AC,109811,1998,8100.0,200.0,864000,BMW,1380834000.0,1381698000.0
4,8,321226609253,"Chevrolet : Blazer 4X4-CST-FACT.A/C-PS,PDB-RUNS GREAT!", AC,25165,1972,4995.0,200.0,864000,Chevrolet,1381514400.0,1382378400.0
16,24,261303151228,Jeep : Wrangler Sahara, AC,126215,2002,8190.0,200.0,432000,Jeep,1381257000.0,1381689000.0
12,22,121189765689,Plymouth : Road Runner Roadrunner, AC,1114,1971,7888.88,200.0,604800,Plymouth,1381078809.0,1381683609.0
6,10,251353128983,Cadillac : CTS LEATHER SEATS/ MOON ROOF/COLD AC/ FM/AM/XM/BOSE, AC,6096,2012,16430.0,200.0,604800,Cadillac,1381077900.0,1381682700.0
11,21,141085021601,Chevrolet : Corvette convertible, AC,0,1973,14600.0,200.0,432000,Chevrolet,1381236915.0,1381668915.0
19,41,321221550583,Chevrolet : Nova 2 DOOR, AC,100000,1970,9600.0,1000.0,864000,Chevrolet,1380801154.0,1381665154.0
12,28,251354055711,Ford : F-250 KING RANCH 4X4 OFF ROAD 6.4 POWERSTROKE DIESEL 4X4, AC,127949,2008,22322.0,2.0,432000,Ford,1381172766.0,1381604766.0
8,17,251352689777,Ford : Taurus COOLING LEATHER SEATS/MOON ROOF/19 /AC/CAMERA, AC,37632,2011,13200.0,200.0,604800,Ford,1380993300.0,1381598100.0
11,15,251352684756,Ford : Edge NAVI/CAMERA/HEATED LEATHER SEATS/FWD/AC/SENSORS///, AC,8904,2013,21650.0,200.0,604800,Ford,1380992400.0,1381597200.0
10,33,261301370373,Chevrolet : Malibu NAVI/MOONROOF/HEATED LEATHER SEATS/AC/CAMERA, AC,6297,2013,16400.0,200.0,604800,Chevrolet,1380990600.0,1381595400.0
8,15,321222545930,Chevrolet : Monte Carlo LS, AC,106021,1996,1180.55,200.0,604800,Chevrolet,1380960068.0,1381564868.0
8,33,221295906584,Porsche : 911 Carrera 2dr, AC,166250,1990,14600.0,5000.0,259200,Porsche,1381299941.0,1381559141.0
10,21,121188103239,Ford : Windstar LX 1-OWNER, AC,141941,2003,1765.0,500.0,604800,Ford,1380829061.0,1381433861.0
15,27,161120228107,Chevrolet : Blazer SUV, AC,90043,2002,4375.0,0.99,604800,Chevrolet,1380828600.0,1381433400.0
11,17,290990000887,Jeep : Grand Cherokee Laredo 4WD, AC,161110,2000,2025.0,500.0,604800,Jeep,1380826800.0,1381431600.0
16,34,300981773068,Ford : Explorer XLS 4WD AWD, AC,74497,2000,2714.0,500.0,604800,Ford,1380825900.0,1381430700.0
17,32,221293222454,Toyota : Camry XLE Sedan 4-Door, AC,172296,1999,2124.0,200.0,604800,Toyota,1380825341.0,1381430141.0
12,25,141080783178,Saturn : Vue FWD 4dr L4 A, AC,114900,2007,5400.0,995.0,604800,Saturn,1380825000.0,1381429800.0
13,20,390671150468,Chevrolet : Silverado 2500 4WD Ext Cab, AC,172910,2007,10575.0,995.0,864000,Chevrolet,1380565800.0,1381429800.0
